Poll Date,Poll Time,Site,POS1,POS2,POS3,POS4,POS5,POS6,POS7,POS8,POS9,KC1,KC2,KC3,KC4,KC5,KC6,KC7,KC8,KC9
09/28/2021,05:58:11,00101,OK,OK,OK,OK,,,,,,,,OK,OK,OK,OK,OK,,,
09/28/2021,05:58:45,00102,OK,OK,OK,OK,,,,,,,,OK,OK,OK,OK,OK,,,
09/28/2021,05:58:10,00103,OK,OK,OK,OK,,,,,,,,OK,OK,OK,OK,OK,,,
09/28/2021,05:58:02,00105,OK,OK,OK,OK,,,,,,,,OK,OK,OK,OK,OK,,,
09/28/2021,05:58:00,00106,OK,OK,OK,OK,,,,,,,,OK,OK,OK,OK,OK,,,
09/28/2021,05:58:00,00107,OK,OK,OK,OK,,,,,,,,OK,OK,OK,OK,OK,,,
09/28/2021,05:58:31,00108,OK,OK,OK,OK,,OK,,OK,,OK,OK,,OK,OK,OK,OK,OK,,
09/28/2021,05:58:05,00110,OK,OK,OK,OK,,,,,,,,OK,OK,OK,OK,OK,,,
09/28/2021,05:58:07,00111,OK,OK,OK,OK,,,,,,,,OK,OK,OK,OK,OK,,,
09/28/2021,05:58:03,00112,OK,OK,OK,OK,,,,,,,,OK,OK,OK,OK,OK,,,
09/28/2021,05:58:04,00113,OK,OK,OK,OK,,,,,,,,,OK,OK,OK,OK,,,
09/28/2021,05:58:02,00114,OK,OK,OK,OK,,,,,,,,OK,OK,OK,OK,OK,,,
09/28/2021,05:59:07,00115,OK,OK,OK,OK,,OK,,,,OK,OK,,OK,OK,OK,OK,OK,,
09/28/2021,05:58:10,00118,OK,OK,OK,OK,,OK,,,,,,OK,OK,OK,OK,OK,,,
09/28/2021,05:58:26,00119,OK,OK,OK,OK,,*DOWN*,,,,OK,OK,,OK,OK,OK,OK,OK,,
09/28/2021,05:58:25,00120,OK,OK,OK,OK,,OK,,,,,,OK,OK,*DOWN*,OK,OK,,,
09/28/2021,05:58:08,00121,OK,OK,OK,OK,,,,,,,,OK,OK,OK,OK,OK,,,
09/28/2021,06:01:56,00122,OK,OK,OK,OK,,,,,,,,OK,OK,OK,OK,OK,,,
09/28/2021,06:02:39,00123,OK,OK,OK,OK,,,,,,,,OK,OK,OK,OK,OK,,,
09/28/2021,06:02:05,00124,OK,OK,OK,OK,,,,,,,,OK,OK,OK,OK,OK,,,
09/28/2021,06:03:12,00126,OK,OK,OK,OK,,,,,,,,,OK,OK,OK,OK,OK,,
09/28/2021,06:02:52,00127,OK,OK,OK,OK,,,,,,,,OK,OK,OK,OK,OK,,,
09/28/2021,06:03:07,00128,*DOWN*,OK,OK,OK,,,,,,,,*DOWN*,OK,OK,OK,OK,,,
09/28/2021,06:02:35,00129,OK,OK,OK,OK,,,,,,,,OK,OK,OK,OK,OK,,,
09/28/2021,06:02:42,00130,OK,OK,OK,OK,,OK,,,,,,OK,OK,OK,OK,OK,,,
09/28/2021,06:02:51,00131,OK,OK,OK,OK,,,,,,,,OK,OK,OK,OK,OK,,,
09/28/2021,05:58:45,00132,OK,OK,OK,OK,,OK,,,,,,OK,OK,OK,OK,OK,,,
09/28/2021,06:02:55,00133,OK,OK,OK,OK,,OK,,,,,,OK,OK,OK,OK,OK,,,
09/28/2021,05:58:15,00135,OK,OK,OK,OK,,,,,,,,OK,OK,OK,OK,OK,,,
09/28/2021,05:58:22,00136,OK,OK,OK,OK,,,,,,,,OK,OK,OK,OK,OK,,,
09/28/2021,05:58:22,00137,OK,OK,OK,OK,,,,,,,,OK,OK,OK,OK,OK,,,
09/28/2021,05:58:25,00139,OK,OK,*DOWN*,OK,,,,,,,,OK,OK,OK,OK,OK,,,
09/28/2021,05:58:22,00140,OK,OK,OK,OK,,OK,,,,,,OK,OK,OK,OK,OK,,,
09/28/2021,05:58:24,00141,OK,OK,OK,OK,,OK,,,,OK,OK,,OK,OK,OK,*DOWN*,OK,OK,
09/28/2021,05:58:27,00142,OK,OK,OK,OK,,OK,,,,OK,OK,OK,,,OK,OK,,,
09/28/2021,05:58:26,00143,OK,OK,OK,OK,,,,,,OK,OK,OK,,,OK,OK,,,
09/28/2021,05:58:12,00144,OK,OK,OK,OK,,OK,,,,,,OK,OK,OK,OK,OK,,,
09/28/2021,05:58:27,00145,OK,OK,OK,OK,,OK,,,,,,OK,OK,OK,OK,OK,,,
09/28/2021,05:58:22,00146,OK,OK,OK,OK,,OK,,,,OK,OK,OK,,,OK,OK,,,
09/28/2021,05:58:30,00147,OK,OK,OK,OK,,OK,,,,,,OK,OK,OK,OK,OK,,,
09/28/2021,05:58:25,00148,*DOWN*,OK,OK,OK,,OK,,,,,,OK,OK,OK,OK,OK,,,
09/28/2021,05:58:23,00149,OK,OK,OK,OK,,OK,,,,*DOWN*,OK,OK,,,OK,OK,,,
09/28/2021,06:07:38,00150,OK,OK,OK,OK,,OK,,,,OK,OK,OK,,,OK,OK,,,
09/28/2021,05:58:23,00151,OK,OK,OK,OK,,OK,,,,OK,OK,OK,,,OK,OK,,,
09/28/2021,05:58:09,00152,OK,OK,OK,OK,,OK,,,,,,OK,OK,OK,OK,OK,,,
09/28/2021,05:58:03,00153,OK,OK,OK,OK,,OK,,,,,,OK,OK,OK,OK,OK,,,
09/28/2021,05:58:24,00154,OK,OK,OK,OK,,OK,,,,,,OK,OK,OK,OK,OK,,,
09/28/2021,05:58:25,00155,OK,OK,OK,OK,,OK,,,,OK,OK,OK,,,OK,OK,,,
09/28/2021,05:58:25,00156,OK,OK,OK,OK,,OK,,,,,,OK,OK,OK,OK,OK,,,
09/28/2021,05:58:22,00157,OK,OK,OK,OK,,OK,,,,,,OK,OK,OK,OK,OK,,,
09/28/2021,05:58:23,00158,OK,OK,OK,OK,,OK,,,,OK,OK,OK,,,OK,OK,,,
09/28/2021,05:58:22,00160,OK,OK,OK,OK,,OK,,,,,,OK,OK,OK,OK,OK,,,
09/28/2021,05:58:25,00161,OK,OK,*DOWN*,OK,,OK,,,,OK,OK,,OK,OK,OK,OK,OK,,
09/28/2021,05:58:25,00162,OK,OK,OK,OK,,OK,,,,OK,OK,OK,,,OK,OK,,,
09/28/2021,05:58:26,00163,OK,OK,OK,OK,,OK,,,,,,OK,OK,OK,OK,OK,,,
09/28/2021,05:58:25,00164,OK,OK,OK,OK,,OK,,,,,,OK,OK,OK,OK,OK,,,
09/28/2021,06:03:07,00166,OK,OK,OK,OK,,,,,,,,,OK,OK,OK,OK,,,
09/28/2021,06:03:09,00167,OK,OK,OK,OK,,OK,,,,,,OK,OK,OK,OK,OK,,,
09/28/2021,06:03:30,00168,OK,OK,OK,OK,,,,,,OK,OK,OK,,,OK,OK,,,
09/28/2021,06:04:21,00170,OK,OK,OK,OK,,,,,,,,OK,OK,*DOWN*,OK,OK,,,
09/28/2021,06:04:20,00171,OK,OK,OK,OK,,,,,,OK,OK,OK,,,OK,OK,,,
09/28/2021,06:04:10,00172,OK,OK,OK,OK,,OK,,,,OK,OK,OK,,,OK,OK,,,
09/28/2021,06:03:03,00173,OK,OK,OK,OK,,,,,,,,OK,OK,OK,OK,OK,,,
09/28/2021,06:04:20,00174,OK,OK,OK,OK,,,,,,OK,OK,OK,,,OK,OK,,,
09/28/2021,06:04:19,00175,OK,OK,OK,OK,,,,,,OK,OK,OK,,,OK,OK,,,
09/28/2021,06:04:54,00176,OK,OK,OK,OK,,,,,,OK,OK,OK,,,OK,OK,,,
09/28/2021,06:05:32,00177,OK,OK,OK,OK,,,,,,OK,OK,OK,,,OK,OK,,,
09/28/2021,06:03:10,00178,OK,OK,OK,OK,,,,,,,,OK,OK,OK,OK,OK,,,
09/28/2021,06:04:21,00179,OK,OK,OK,OK,,,,,,OK,OK,OK,,,OK,OK,,,
09/28/2021,05:58:37,00180,OK,OK,OK,OK,,OK,,,,OK,OK,OK,,,OK,OK,,,
09/28/2021,06:04:24,00181,OK,OK,OK,OK,,,,,,OK,OK,OK,,,OK,OK,,,
09/28/2021,06:04:15,00182,OK,OK,OK,OK,,,,,,OK,OK,OK,,,OK,OK,,,
09/28/2021,06:05:35,00183,OK,OK,OK,OK,,,,,,OK,OK,OK,,,OK,OK,,,
09/28/2021,06:06:30,00184,OK,OK,OK,OK,,OK,,,,OK,OK,OK,,,OK,OK,,,
09/28/2021,06:03:27,00185,OK,OK,OK,OK,,,,,,,,OK,OK,OK,OK,*DOWN*,,,
09/28/2021,06:03:47,00186,OK,OK,OK,OK,,,,,,OK,OK,OK,,,OK,OK,,,
09/28/2021,06:04:26,00187,OK,OK,OK,OK,,OK,,,,OK,OK,OK,,,OK,OK,,,
09/28/2021,06:04:59,00189,OK,OK,OK,OK,,,,,,OK,OK,OK,,,OK,OK,,,
09/28/2021,06:04:05,00190,OK,OK,*DOWN*,OK,,*DOWN*,,,,,,,OK,OK,OK,OK,*UP*,,
09/28/2021,06:03:09,00191,OK,OK,OK,OK,,,,,,,,,OK,OK,OK,OK,,,
09/28/2021,06:04:13,00192,OK,OK,OK,OK,,OK,,,,,,OK,OK,OK,OK,OK,,,
09/28/2021,05:58:39,00193,OK,OK,OK,OK,,,,,,,,OK,OK,OK,OK,OK,,,
09/28/2021,06:03:12,00194,*DOWN*,OK,OK,OK,,OK,,,,,,,OK,OK,OK,OK,,,
09/28/2021,06:04:24,00195,OK,OK,OK,OK,,OK,,,,,,,OK,OK,OK,OK,,,
09/28/2021,06:03:23,00201,OK,OK,OK,OK,,,,,,,,OK,OK,OK,OK,OK,,,
09/28/2021,06:04:19,00202,OK,OK,OK,OK,OK,OK,,,,OK,OK,OK,,,OK,OK,,,
09/28/2021,06:04:18,00203,OK,OK,OK,OK,OK,OK,,OK,,OK,OK,OK,,,OK,OK,,,
09/28/2021,06:03:37,00204,OK,OK,OK,OK,,OK,,,,,,OK,OK,OK,OK,OK,,OK,
09/28/2021,06:05:32,00206,OK,OK,OK,OK,,,,,,OK,OK,OK,,,OK,OK,,,
09/28/2021,06:05:42,00207,OK,OK,OK,OK,,OK,,,,OK,OK,OK,,,OK,OK,,,
09/28/2021,06:05:30,00209,OK,OK,OK,OK,,,,,,OK,OK,OK,,,OK,OK,,,
09/28/2021,06:05:18,00210,OK,OK,OK,OK,,OK,,,,OK,OK,OK,,,OK,OK,,,
09/28/2021,06:05:27,00211,OK,OK,OK,OK,,,,,,OK,OK,OK,,,OK,OK,,,
09/28/2021,06:04:16,00212,OK,OK,OK,OK,,,,,,OK,OK,OK,,,OK,OK,,,
09/28/2021,06:03:25,00215,OK,OK,OK,OK,,OK,,,,,,OK,OK,OK,OK,OK,,,
09/28/2021,06:05:19,00219,OK,OK,OK,OK,,,,,,OK,OK,OK,,,OK,OK,,,
09/28/2021,06:04:15,00223,OK,OK,OK,OK,,,,,,,,OK,OK,OK,OK,OK,,,
09/28/2021,06:05:11,00226,OK,OK,OK,OK,,,,,,OK,OK,OK,,,OK,OK,,,
09/28/2021,05:59:05,00228,OK,OK,OK,OK,,OK,,,,OK,OK,OK,,,OK,OK,,,
09/28/2021,06:05:48,00229,OK,OK,OK,OK,,OK,,,,OK,OK,OK,,,OK,OK,,,
09/28/2021,06:04:19,00230,OK,OK,OK,OK,,,,,,OK,,OK,,,OK,OK,,,
09/28/2021,06:03:18,00231,OK,OK,OK,OK,,OK,,,,,,OK,OK,OK,OK,OK,,,
09/28/2021,06:04:17,00233,OK,OK,OK,OK,,,,,,OK,OK,OK,,,OK,OK,,,
09/28/2021,06:05:47,00234,OK,OK,OK,OK,,OK,,,,OK,OK,OK,,,OK,OK,,,
09/28/2021,06:04:26,00235,OK,OK,*DOWN*,OK,,OK,,,,OK,OK,,OK,OK,*DOWN*,OK,,OK,
09/28/2021,06:06:45,00238,OK,OK,OK,OK,,OK,,,,OK,OK,OK,,,OK,OK,,,
09/28/2021,06:03:09,00250,OK,OK,OK,OK,,OK,,OK,,OK,OK,,OK,OK,OK,OK,OK,OK,
09/28/2021,06:03:12,00252,OK,OK,OK,OK,,OK,,,,OK,OK,,OK,OK,OK,OK,OK,,
09/28/2021,06:04:13,00253,OK,OK,OK,OK,,OK,,,,OK,OK,OK,,,OK,OK,,,
09/28/2021,06:32:36,00254,OK,OK,OK,OK,,OK,,OK,,OK,OK,OK,,,OK,OK,,,
09/28/2021,06:04:13,00260,OK,OK,OK,OK,OK,,,,,OK,OK,OK,,,OK,OK,,,
09/28/2021,06:04:18,00261,OK,OK,OK,OK,,,,,,OK,OK,OK,,,OK,OK,,,
09/28/2021,06:04:10,00269,OK,OK,OK,OK,,,,,,OK,OK,OK,,,OK,OK,,,
09/28/2021,06:05:28,00270,OK,OK,OK,OK,,,,,,OK,*DOWN*,OK,,,OK,OK,,,
09/28/2021,06:01:25,00273,OK,OK,OK,OK,*DOWN*,OK,,OK,,,,OK,OK,OK,OK,OK,,OK,
09/28/2021,06:04:15,00275,OK,OK,OK,OK,,,,,,,,OK,OK,OK,OK,OK,,,
09/28/2021,06:04:20,00279,OK,OK,OK,OK,,OK,,,,OK,OK,OK,,,OK,OK,,,
09/28/2021,06:04:18,00280,OK,OK,OK,OK,,OK,,,,OK,OK,OK,,,OK,OK,,OK,
09/28/2021,06:05:40,00285,OK,OK,OK,OK,,,,,,OK,OK,OK,,,OK,OK,,OK,
09/28/2021,06:04:11,00288,OK,OK,OK,OK,,,,,,OK,OK,OK,,,OK,OK,,,
09/28/2021,05:58:37,00289,OK,OK,OK,OK,,OK,,,,OK,OK,,OK,OK,OK,OK,OK,,
09/28/2021,06:05:28,00292,OK,OK,OK,OK,,OK,,,,OK,OK,OK,,,OK,OK,,,
09/28/2021,06:04:19,00293,OK,OK,OK,OK,,OK,,,,OK,OK,OK,,,OK,OK,,,
09/28/2021,06:06:20,00295,OK,OK,OK,OK,,OK,,,,OK,OK,OK,,,OK,OK,,,
09/28/2021,06:04:17,00296,OK,OK,OK,OK,,OK,,OK,,OK,*DOWN*,,OK,OK,OK,OK,OK,OK,
09/28/2021,06:04:19,00299,OK,OK,OK,OK,,OK,,,,OK,OK,OK,,,OK,OK,,,
09/28/2021,06:06:15,00300,OK,OK,OK,OK,,OK,,,,*DOWN*,OK,OK,,,OK,OK,,,
09/28/2021,06:06:20,00301,OK,OK,OK,OK,,OK,,,,OK,OK,OK,,,OK,OK,,,
09/28/2021,06:08:22,00303,OK,OK,OK,OK,,OK,,OK,,OK,OK,,OK,OK,OK,OK,,OK,
09/28/2021,06:08:15,00304,OK,OK,OK,OK,,OK,,,,OK,OK,OK,,,OK,OK,,,
09/28/2021,05:58:41,00306,OK,OK,OK,OK,OK,OK,,,,OK,OK,OK,,,OK,OK,,OK,
09/28/2021,06:06:44,00307,OK,OK,OK,OK,,*DOWN*,,,,OK,OK,OK,,,OK,OK,,,
09/28/2021,06:07:37,00308,OK,OK,OK,OK,,OK,,,,OK,OK,OK,,,OK,OK,,,
09/28/2021,06:06:55,00309,OK,OK,OK,OK,,OK,,,,,,OK,OK,OK,OK,OK,,OK,
09/28/2021,06:06:32,00310,OK,OK,OK,OK,,,,,,OK,OK,OK,,,OK,OK,,,
09/28/2021,06:06:54,00311,OK,OK,OK,OK,,OK,,,,OK,OK,OK,,,OK,OK,,,
09/28/2021,06:06:25,00312,OK,OK,OK,OK,,OK,,,,OK,OK,OK,,,OK,OK,,,
09/28/2021,06:09:34,00313,OK,OK,OK,OK,,,,,,OK,OK,OK,,,OK,OK,,,
09/28/2021,06:07:29,00314,OK,OK,OK,OK,,OK,,,,,,OK,OK,OK,OK,OK,,,
09/28/2021,06:06:37,00315,OK,OK,OK,OK,,OK,,,,OK,OK,OK,,,OK,OK,,,
09/28/2021,05:58:22,00316,OK,OK,OK,OK,,,,,,OK,OK,OK,,,*DOWN*,OK,,,
09/28/2021,05:58:20,00317,OK,OK,OK,OK,,,,,,OK,OK,OK,,,OK,OK,,,
09/28/2021,06:06:50,00318,OK,OK,OK,OK,,OK,,,,,,OK,OK,OK,OK,OK,,*DOWN*,
09/28/2021,06:08:25,00319,OK,OK,OK,OK,,OK,,,,,,OK,OK,OK,OK,OK,,,
09/28/2021,06:06:54,00320,OK,OK,OK,*DOWN*,,OK,,,,OK,OK,OK,,,OK,OK,,,
09/28/2021,06:07:13,00321,OK,OK,OK,OK,,,,,,OK,OK,OK,,,OK,OK,,,
09/28/2021,06:08:16,00322,OK,OK,OK,OK,,,,,,,,OK,OK,OK,OK,OK,,*DOWN*,
09/28/2021,05:58:34,00323,OK,OK,OK,OK,,OK,,,,OK,OK,,OK,OK,OK,OK,OK,,
09/28/2021,06:14:36,00325,OK,OK,OK,OK,,OK,,,,,,OK,OK,OK,OK,OK,,,
09/28/2021,06:07:00,00326,*DOWN*,OK,OK,OK,OK,,,,,OK,OK,OK,,,OK,OK,,,
09/28/2021,06:06:58,00331,OK,OK,OK,OK,,,,,,OK,OK,OK,,,OK,OK,,,
09/28/2021,06:06:43,00333,OK,OK,OK,OK,,OK,,,,OK,OK,,OK,OK,OK,OK,OK,OK,
09/28/2021,06:08:16,00341,OK,OK,OK,OK,,OK,,,,OK,OK,OK,,,OK,OK,,,
09/28/2021,06:06:43,00342,OK,OK,OK,OK,,OK,,,,OK,OK,OK,,,OK,OK,,,
09/28/2021,06:07:04,00343,OK,OK,OK,OK,,,,,,OK,OK,OK,,,OK,OK,,,
09/28/2021,05:58:38,00345,OK,OK,OK,OK,OK,OK,,,,OK,OK,OK,,,OK,OK,,,
09/28/2021,06:07:05,00346,OK,OK,OK,OK,,OK,,,,OK,OK,OK,,,OK,OK,,,
09/28/2021,06:06:50,00347,OK,OK,OK,OK,,OK,,,,OK,OK,OK,,,OK,OK,,,
09/28/2021,06:08:23,00349,OK,OK,OK,OK,,OK,,,,OK,OK,OK,,,OK,OK,,,
09/28/2021,05:58:35,00353,OK,OK,OK,OK,,OK,,,,OK,OK,OK,,,OK,OK,,,
09/28/2021,06:07:46,00354,OK,OK,OK,OK,,,,,,OK,OK,OK,,,OK,OK,,,
09/28/2021,06:07:49,00356,OK,OK,OK,OK,,OK,,,,OK,OK,OK,,,OK,OK,,,
09/28/2021,06:07:48,00358,OK,OK,OK,OK,OK,OK,,OK,,OK,OK,OK,,,OK,OK,OK,OK,
09/28/2021,06:08:22,00359,OK,OK,OK,OK,,OK,,,,OK,OK,OK,,,OK,OK,,,
09/28/2021,06:08:26,00360,OK,OK,OK,OK,,OK,,,,,,OK,OK,OK,OK,OK,,OK,
09/28/2021,06:06:59,00361,OK,OK,OK,OK,,,,,,OK,OK,OK,,,OK,OK,,,
09/28/2021,05:58:37,00362,OK,OK,OK,OK,,OK,,,,OK,OK,OK,,,OK,OK,,,
09/28/2021,05:58:36,00364,OK,OK,OK,OK,,,,,,OK,OK,OK,,,OK,OK,,,
09/28/2021,06:07:19,00367,OK,OK,OK,OK,,OK,,,,OK,OK,OK,,,OK,OK,,,
09/28/2021,06:08:04,00368,OK,OK,OK,OK,,OK,,,,OK,OK,OK,,,OK,OK,,,
09/28/2021,06:07:38,00372,OK,OK,OK,OK,,OK,,,,OK,OK,OK,,,OK,OK,,,
09/28/2021,06:08:12,00376,OK,OK,OK,OK,,OK,,OK,,OK,OK,OK,,,OK,OK,,,
09/28/2021,06:07:48,00378,OK,OK,OK,OK,,OK,,,,OK,OK,OK,,,OK,OK,,,
09/28/2021,05:58:36,00382,OK,OK,OK,OK,,,,,,OK,OK,OK,,,OK,OK,,,
09/28/2021,06:07:46,00383,OK,OK,OK,OK,,OK,,OK,,OK,OK,OK,,,OK,OK,,,
09/28/2021,06:08:41,00386,OK,OK,OK,OK,,OK,,,,OK,OK,OK,,,OK,OK,,,
09/28/2021,06:09:21,00387,OK,OK,OK,OK,,OK,,,,OK,OK,OK,,,OK,OK,,,
09/28/2021,05:58:37,00388,OK,OK,OK,OK,,OK,,,,OK,OK,OK,,,OK,OK,,,
09/28/2021,05:58:42,00389,OK,OK,OK,OK,,OK,,,,OK,OK,OK,,,OK,OK,,,
09/28/2021,06:08:39,00390,OK,OK,OK,OK,,OK,,,,OK,OK,OK,,,OK,OK,OK,,
09/28/2021,06:08:38,00393,OK,OK,OK,OK,,,,,,OK,OK,OK,,,OK,OK,,,
09/28/2021,06:09:22,00394,OK,OK,OK,OK,,OK,,,,OK,OK,OK,,,OK,OK,,,
09/28/2021,06:08:59,00395,OK,OK,OK,OK,,OK,,,,OK,OK,OK,,,OK,OK,,,
09/28/2021,06:09:15,00396,OK,OK,OK,OK,,OK,,,,OK,OK,OK,,,OK,OK,,,
09/28/2021,06:08:37,00398,OK,OK,OK,OK,,,,,,OK,OK,OK,,,OK,OK,,,
09/28/2021,06:08:49,00400,OK,OK,OK,OK,OK,OK,,,,OK,OK,OK,,,OK,OK,,OK,
09/28/2021,06:09:14,00401,OK,OK,OK,OK,,OK,,,,OK,OK,OK,,,OK,OK,,,
09/28/2021,06:09:14,00402,OK,OK,OK,OK,,OK,,,,OK,OK,OK,,,OK,OK,,,
09/28/2021,06:08:41,00403,OK,OK,OK,OK,,OK,,,,OK,OK,OK,,,OK,OK,,,
09/28/2021,05:58:40,00404,OK,OK,OK,OK,,*DOWN*,,,,OK,OK,,OK,OK,OK,OK,OK,*DOWN*,
09/28/2021,06:08:59,00405,*DOWN*,OK,OK,OK,,,,,,OK,OK,OK,,,OK,OK,,,
09/28/2021,06:09:11,00409,OK,OK,OK,OK,,OK,,,,OK,OK,OK,,,OK,OK,,,
09/28/2021,06:08:53,00410,OK,OK,OK,OK,,*DOWN*,,,,,,OK,OK,OK,OK,OK,,,
09/28/2021,06:09:12,00413,OK,OK,OK,OK,,OK,,,,OK,OK,OK,,,OK,OK,,,
09/28/2021,06:09:17,00414,OK,OK,OK,OK,,OK,,,,OK,OK,OK,,,OK,OK,,,
09/28/2021,05:58:06,00415,OK,OK,OK,OK,,OK,,OK,,OK,OK,OK,,,OK,OK,,,
09/28/2021,06:04:08,00417,OK,OK,OK,OK,,OK,,,,OK,OK,OK,,,OK,OK,,,
09/28/2021,06:09:09,00418,OK,OK,OK,OK,,OK,,,,OK,OK,OK,,,OK,OK,,,
09/28/2021,06:09:12,00419,OK,OK,OK,OK,,OK,,,,OK,OK,OK,,,OK,OK,,,
09/28/2021,05:58:37,00421,OK,OK,OK,OK,,,,,,OK,OK,OK,,,OK,OK,,,
09/28/2021,06:09:10,00422,OK,OK,OK,OK,,OK,,,,OK,OK,OK,,,OK,OK,,,
09/28/2021,06:08:45,00423,OK,OK,OK,OK,,OK,,,,,,OK,OK,OK,OK,OK,,,
09/28/2021,06:09:13,00424,OK,OK,OK,OK,,OK,,,,OK,OK,OK,,,OK,OK,,,
